2026-03-17 16:08:45 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo/festivals?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo/festivals?page=2
2026-03-17 16:08:47 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo/tradition?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo/tradition?page=2
2026-03-17 16:08:49 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo/cinema-video?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo/cinema-video?page=2
2026-03-17 16:08:51 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo/literature?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo/literature?page=2
2026-03-17 16:08:53 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo/meetings?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo/meetings?page=2
2026-03-17 16:08:53 | INFO     | scraper.viralagenda | Scraped 172 events from viralagenda
2026-03-17 16:08:53 | INFO     | event_service | Collected 172 events from viralagenda
2026-03-17 16:08:53 | INFO     | scraper.aquiha | Starting scraper: aquiha
2026-03-17 16:08:58 | WARNING  | scraper.aquiha | HTTP error for https://www.aquiha.pt/viana-do-castelo/musica: 404 Client Error: Not Found for url: https://aquiha.pt/viana-do-castelo/musica
2026-03-17 16:09:00 | WARNING  | scraper.aquiha | HTTP error for https://www.aquiha.pt/viana-do-castelo/desporto-e-aventura: 404 Client Error: Not Found for url: https://aquiha.pt/viana-do-castelo/desporto-e-aventura
2026-03-17 16:09:01 | WARNING  | scraper.aquiha | HTTP error for https://www.aquiha.pt/viana-do-castelo/festivais: 404 Client Error: Not Found for url: https://aquiha.pt/viana-do-castelo/festivais
2026-03-17 16:09:03 | WARNING  | scraper.aquiha | HTTP error for https://www.aquiha.pt/viana-do-castelo/teatro-e-cinema: 404 Client Error: Not Found for url: https://aquiha.pt/viana-do-castelo/teatro-e-cinema
2026-03-17 16:09:03 | INFO     | scraper.aquiha | Scraped 0 events from aquiha
2026-03-17 16:09:03 | INFO     | event_service | Collected 0 events from aquiha
2026-03-17 16:09:03 | INFO     | scraper.eventbrite | Starting scraper: eventbrite
2026-03-17 16:09:03 | WARNING  | scraper.eventbrite | EVENTBRITE_API_KEY not set — Eventbrite scraper disabled. Get a key at https://www.eventbrite.com/platform/api
2026-03-17 16:09:03 | INFO     | scraper.eventbrite | Scraped 0 events from eventbrite
2026-03-17 16:09:03 | INFO     | event_service | Collected 0 events from eventbrite
2026-03-17 16:09:03 | INFO     | scraper.bandsintown | Starting scraper: bandsintown
2026-03-17 16:09:04 | WARNING  | scraper.bandsintown | HTTP error for https://rest.bandsintown.com/artists/Dead%20Combo/events: 403 Client Error: Forbidden for url: https://rest.bandsintown.com/artists/Dead%20Combo/events?app_id=openclaw_events&date=upcoming
2026-03-17 16:09:04 | WARNING  | scraper.bandsintown | HTTP error for https://rest.bandsintown.com/artists/Ornatos%20Violeta/events: 403 Client Error: Forbidden for url: https://rest.bandsintown.com/artists/Ornatos%20Violeta/events?app_id=openclaw_events&date=upcoming
2026-03-17 16:09:04 | WARNING  | scraper.bandsintown | HTTP error for https://rest.bandsintown.com/artists/Xutos%20%26%20Pontapés/events: 403 Client Error: Forbidden for url: https://rest.bandsintown.com/artists/Xutos%20%26%20Pontap%C3%A9s/events?app_id=openclaw_events&date=upcoming
2026-03-17 16:09:04 | WARNING  | scraper.bandsintown | HTTP error for https://rest.bandsintown.com/artists/Deolinda/events: 403 Client Error: Forbidden for url: https://rest.bandsintown.com/artists/Deolinda/events?app_id=openclaw_events&date=upcoming
2026-03-17 16:09:04 | WARNING  | scraper.bandsintown | HTTP error for https://rest.bandsintown.com/artists/Ana%20Moura/events: 403 Client Error: Forbidden for url: https://rest.bandsintown.com/artists/Ana%20Moura/events?app_id=openclaw_events&date=upcoming
2026-03-17 16:09:05 | WARNING  | scraper.bandsintown | HTTP error for https://rest.bandsintown.com/artists/Mariza/events: 403 Client Error: Forbidden for url: https://rest.bandsintown.com/artists/Mariza/events?app_id=openclaw_events&date=upcoming
2026-03-17 16:09:05 | WARNING  | scraper.bandsintown | HTTP error for https://rest.bandsintown.com/artists/Salvador%20Sobral/events: 403 Client Error: Forbidden for url: https://rest.bandsintown.com/artists/Salvador%20Sobral/events?app_id=openclaw_events&date=upcoming
2026-03-17 16:09:05 | WARNING  | scraper.bandsintown | HTTP error for https://rest.bandsintown.com/artists/Buraka%20Som%20Sistema/events: 403 Client Error: Forbidden for url: https://rest.bandsintown.com/artists/Buraka%20Som%20Sistema/events?app_id=openclaw_events&date=upcoming
2026-03-17 16:09:06 | WARNING  | scraper.bandsintown | HTTP error for https://rest.bandsintown.com/artists/Richie%20Campbell/events: 403 Client Error: Forbidden for url: https://rest.bandsintown.com/artists/Richie%20Campbell/events?app_id=openclaw_events&date=upcoming
2026-03-17 16:09:06 | WARNING  | scraper.bandsintown | HTTP error for https://rest.bandsintown.com/artists/Paulo%20de%20Carvalho/events: 403 Client Error: Forbidden for url: https://rest.bandsintown.com/artists/Paulo%20de%20Carvalho/events?app_id=openclaw_events&date=upcoming
2026-03-17 16:09:06 | WARNING  | scraper.bandsintown | HTTP error for https://rest.bandsintown.com/artists/Moonspell/events: 403 Client Error: Forbidden for url: https://rest.bandsintown.com/artists/Moonspell/events?app_id=openclaw_events&date=upcoming
2026-03-17 16:09:07 | WARNING  | scraper.bandsintown | HTTP error for https://rest.bandsintown.com/artists/Mind%20da%20Gap/events: 403 Client Error: Forbidden for url: https://rest.bandsintown.com/artists/Mind%20da%20Gap/events?app_id=openclaw_events&date=upcoming
2026-03-17 16:09:07 | WARNING  | scraper.bandsintown | HTTP error for https://rest.bandsintown.com/artists/GNR/events: 403 Client Error: Forbidden for url: https://rest.bandsintown.com/artists/GNR/events?app_id=openclaw_events&date=upcoming
2026-03-17 16:09:07 | WARNING  | scraper.bandsintown | HTTP error for https://rest.bandsintown.com/artists/Primitive%20Reason/events: 403 Client Error: Forbidden for url: https://rest.bandsintown.com/artists/Primitive%20Reason/events?app_id=openclaw_events&date=upcoming
2026-03-17 16:09:07 | WARNING  | scraper.bandsintown | HTTP error for https://rest.bandsintown.com/artists/HMB/events: 403 Client Error: Forbidden for url: https://rest.bandsintown.com/artists/HMB/events?app_id=openclaw_events&date=upcoming
2026-03-17 16:09:07 | INFO     | scraper.bandsintown | Bandsintown: 0 total events before location filter
2026-03-17 16:09:07 | INFO     | scraper.bandsintown | Bandsintown: 0 events after location filter
2026-03-17 16:09:07 | INFO     | scraper.bandsintown | Scraped 0 events from bandsintown
2026-03-17 16:09:07 | INFO     | event_service | Collected 0 events from bandsintown
2026-03-17 16:09:07 | INFO     | deduplicator | Dedup: 172 in -> 171 out (removed 1 duplicates)
2026-03-17 16:09:07 | INFO     | event_service | Total after dedup: 171 events
2026-03-17 16:09:07 | INFO     | storage | SQLite: saved 171 events (171 new)
2026-03-17 16:09:26 | INFO     | storage | Exported 34 events to test_output.json
